 Document set number (Dnnn)
 |    Type (= Extract)
 |    | Target size (200, 400)
 |    | |   Document selector code (A-J)
 |    | |   | Peer summarizer code (manual[A-J] or system submission[15-31]
 |    | |   | |   Model summarizer code (A-J)
 |    | |   | |   |   Model sentences
 |    | |   | |   |   |     Peer sentences
 |    | |   | |   |   |     |    Model-only sentences
 |    | |   | |   |   |     |    |    Model and peer sentences
 |    | |   | |   |   |     |    |    |    Peer-only sentences
 |    | |   | |   |   |     |    |    |    |  Sentence precision
 |    | |   | |   |   |     |    |    |    |  |      Sentence recall
 |    | |   | |   |   |     |    |    |    |  |      |
 D105 E 200 G 16  I   11    3   11    0    3  0.000  0.000
 D105 E 200 G 19  C    8    7    7    1    6  0.143  0.125
 D105 E 200 G 19  I   11    7   11    0    7  0.000  0.000
 D105 E 200 G 20  C    8    8    7    1    7  0.125  0.125
 D105 E 200 G 20  I   11    8    9    2    6  0.250  0.182
 D105 E 200 G 21  C    8    8    8    0    8  0.000  0.000
 D105 E 200 G 21  I   11    8    8    3    5  0.375  0.273
 D105 E 200 G 22  C    8    4    8    0    4  0.000  0.000
 D105 E 200 G 22  I   11    4   11    0    4  0.000  0.000
 D105 E 200 G 24  C    8    6    8    0    6  0.000  0.000
 D105 E 200 G 24  I   11    6    9    2    4  0.333  0.182
 D105 E 200 G 25  C    8    4    8    0    4  0.000  0.000
 D105 E 200 G 25  I   11    4   11    0    4  0.000  0.000
 D105 E 200 G 28  C    8    6    8    0    6  0.000  0.000
 D105 E 200 G 28  I   11    6   11    0    6  0.000  0.000
 D105 E 200 G 29  C    8    9    6    2    7  0.222  0.250
 D105 E 200 G 29  I   11    9   10    1    8  0.111  0.091
 D105 E 200 G 31  C    8    5    8    0    5  0.000  0.000
 D105 E 200 G 31  I   11    5   11    0    5  0.000  0.000
 D105 E 400 G 16  C   13    7   12    1    6  0.143  0.077
 D105 E 400 G 16  I   18    7   17    1    6  0.143  0.056
 D105 E 400 G 19  C   13   16   11    2   14  0.125  0.154
 D105 E 400 G 19  I   18   16   16    2   14  0.125  0.111
